publishedAtDate;stars;text;title
2023-01-09T08:59:57.622Z;4;Sehr freundliche und hilfsbereite Angestellte.;OBI Markt Wien Triester Str.
2023-01-08T19:15:38.691Z;4;;OBI Markt Wien Triester Str.
2023-01-08T14:31:10.805Z;5;;OBI Markt Wien Triester Str.
2023-01-07T20:51:50.464Z;5;;OBI Markt Wien Triester Str.
2023-01-06T12:24:35.174Z;5;;OBI Markt Wien Triester Str.
2023-01-06T00:04:09.324Z;5;Mein Baumarkt mitten in der Stadt. Hier gibt es ein paar tolle MitarbeiterInnen zB Hr BREIER / Sanitärabteilung, Hr HÖBART / Elektroabteilung, aber ganz besonders hervorheben möchte ich Fr TRÄXLER / Stv Marktleitung, die ein gutes Gespür für ihre KundInnen hat und dennoch ihre Mitarbeiter geschickt führt.;OBI Markt Wien Triester Str.
2023-01-05T22:10:35.989Z;5;;OBI Markt Wien Triester Str.
2023-01-05T17:14:54.989Z;4;;OBI Markt Wien Triester Str.
2023-01-05T17:12:34.263Z;5;Bin oft dort einkaufen...Daumen hoch;OBI Markt Wien Triester Str.
2023-01-04T17:44:32.074Z;5;;OBI Markt Wien Triester Str.
2023-01-04T15:08:31.712Z;4;Her?ey var ama mum silikon (s?cak silikon) yok ???;OBI Markt Wien Triester Str.
2023-01-03T06:03:24.229Z;5;;OBI Markt Wien Triester Str.
2023-01-02T11:23:02.842Z;4;"????? ????? ??????? ?? ???? ??? ?????? ???? ????????? ?????????? ???? ????!
??? ???? ??? ???? ?? ????? ?????? ???????? ??? ??? ????? ????? ?????? ???? ?????? ?? ????? ????????";OBI Markt Wien Triester Str.
2023-01-02T09:25:38.123Z;3;Bischen schwerer zu erreichen mit Öffis vom Wienerberg aus gesehn.;OBI Markt Wien Triester Str.
2022-12-30T20:15:39.050Z;4;Gut zu erreichen, großer Parkplatz. Alles in allem war es ok.;OBI Markt Wien Triester Str.
2022-12-30T14:27:33.308Z;5;;OBI Markt Wien Triester Str.
2022-12-29T11:11:31.328Z;4;;OBI Markt Wien Triester Str.
2022-12-29T10:06:16.731Z;4;;OBI Markt Wien Triester Str.
2022-12-29T07:08:57.194Z;5;;OBI Markt Wien Triester Str.
