likesCount;publishedAtDate;stars;text;title
1;2023-02-28T14:52:56.702Z;4;very popular kebab in vienna, long queue but worth the wait;FERHAT D?NER
0;2023-02-28T13:04:16.754Z;5;;FERHAT D?NER
0;2023-02-28T12:16:44.216Z;5;It's still one of the best fast food restaurants.   I don't eat junk food, but this place has the best beafmeat in town, and that is proven with a certificate.  The only bad thing about this place is that there is always a long line. They work really well and fast, so thankfully, you don't die from starvation ?? Cheers;FERHAT D?NER
0;2023-02-28T07:00:11.377Z;5;;FERHAT D?NER
0;2023-02-27T20:45:32.551Z;3;;FERHAT D?NER
0;2023-02-27T18:36:25.587Z;5;;FERHAT D?NER
0;2023-02-26T21:57:11.388Z;5;;FERHAT D?NER
0;2023-02-26T19:21:59.217Z;4;waren wegen hype da, wurden nicht entt?uscht;FERHAT D?NER
1;2023-02-26T18:48:49.442Z;5;Es mag an der k?lteren Jahreszeit liegen - oder der gro?e Hype hat nachgelassen - jedenfalls war bei meinen letzten Besuchen die Wartezeit wesentlich k?rzer als im Fr?hjahr 2022.;
;;;;
;;;;
;;;;
1;2023-02-26T15:42:27.525Z;2;Naja ganz ehrlich? Den hype versteh ich nicht wirklich, das man noch dazu solange sich anstellen will.;
;;;;
;;;;
0;2023-02-26T12:38:38.647Z;3;Geschmacklich nix besonderes. Jeder D?ner im N?rnberger Raum schmeckt besser. Service ist OK;FERHAT D?NER
0;2023-02-26T10:08:55.352Z;5;;FERHAT D?NER
0;2023-02-25T19:27:16.830Z;5;;FERHAT D?NER
2;2023-02-25T17:00:37.651Z;5;Da ich ich ja im 10 Bezirk wohne,gehe ich fast t?glich vorbei und man braucht nur schauen wie viel Leute immer angestellt sind,wahrscheinlich in Wien der beste D?nnnnnnnner??;FERHAT D?NER
1;2023-02-25T10:43:40.489Z;1;Bin echt entt?uscht?;
;;;;
;;;;
1;2023-02-25T09:24:21.561Z;3;Alles sehr gut aber leider viel zu kalt. Das Fladenbrot ist ja auch gut aber es liegt dann einfach nur da und wird nun mal kalt und das heisse Fleisch reicht einfach nicht um alles warm zu halten. Wenn man noch die kalte sauce dazu nimmt dann wird auch das Fleisch kalt. Ich bevorzuge die syrischen Kebabs, wo diese vorher das Fladenbrot kurz im D?nerfett tr?nken und es kurz gegen das Feuer halten um es zu r?sten.;FERHAT D?NER
0;2023-02-25T05:47:56.881Z;5;;FERHAT D?NER
0;2023-02-25T00:14:23.750Z;5;;FERHAT D?NER
0;2023-02-24T20:57:00.552Z;4;Sehr gutes fleisch, schmeckt wie Steak jedoch kann man nicht mit Karte zahlen und muss mit wartezeiten rechnen;FERHAT D?NER
0;2023-02-24T20:46:18.078Z;5;;FERHAT D?NER
0;2023-02-24T18:44:31.680Z;3;;FERHAT D?NER
0;2023-02-24T18:35:58.718Z;5;;FERHAT D?NER
0;2023-02-24T12:06:48.679Z;5;;FERHAT D?NER
0;2023-02-24T08:59:28.662Z;4;It?s nice!;FERHAT D?NER
0;2023-02-24T00:45:22.875Z;5;;FERHAT D?NER
0;2023-02-23T18:13:37.544Z;5;;FERHAT D?NER
1;2023-02-23T14:48:39.314Z;5;Ferhart's D?ner war Serhart;FERHAT D?NER
0;2023-02-23T14:04:46.912Z;3;Der Kebab wird auf Holzkohle serviert, aber die Schlange ist lang, Sie m?ssen warten, bis Sie Ihre Bestellung erhalten, und die Preise sind etwas hoch;FERHAT D?NER
1;2023-02-23T14:00:17.816Z;1;Fazla kaba lard?;FERHAT D?NER
0;2023-02-23T10:22:30.667Z;5;;FERHAT D?NER
0;2023-02-22T17:37:51.257Z;5;;FERHAT D?NER
0;2023-02-22T16:47:24.177Z;1;;FERHAT D?NER
1;2023-02-22T11:49:23.919Z;5;????;FERHAT D?NER
0;2023-02-22T11:00:21.576Z;4;;FERHAT D?NER
0;2023-02-22T09:25:14.626Z;4;;FERHAT D?NER
1;2023-02-22T07:45:30.107Z;5;Bester d?ner der welt;FERHAT D?NER
1;2023-02-22T05:21:40.641Z;5;Da ich auch selber in der Gastronomie T?tig bin kann ich behaupten dass die Sauberkeit der Laden, die Mitarbeiter und das Essen sehr gut war und frisch, da kann man sich schon vorbildlich ein guten Kebap Haus vorstellen;
;;;;
2;2023-02-21T23:29:38.376Z;5;Hier wird alles frisch zubereitet .;
;;;;
;;;;
1;2023-02-21T18:53:36.925Z;5;Bester und leckerster D?ner in ganz Wien! Man muss es wirklich probiert haben! :-);FERHAT D?NER
0;2023-02-21T17:47:15.611Z;5;;FERHAT D?NER
6;2023-02-21T15:25:59.516Z;5;Sehr gute Essen  immer. frisch zubereitet .Chef ist sehr nett;
;;;;
0;2023-02-21T12:29:31.302Z;5;;FERHAT D?NER
1;2023-02-21T09:19:59.576Z;1;Sehr ?berbewertet, normaler D?ner und die Mitarbeiterin war sehr unh?flich und hat uns teilweis;FERHAT D?NER
0;2023-02-20T22:10:43.524Z;1;;FERHAT D?NER
1;2023-02-20T21:36:25.543Z;5;Samo je jedan Ferhat!;FERHAT D?NER
0;2023-02-20T18:50:07.377Z;5;;FERHAT D?NER
0;2023-02-20T18:29:57.186Z;5;;FERHAT D?NER
0;2023-02-20T15:53:50.688Z;2;;FERHAT D?NER
0;2023-02-19T21:03:16.009Z;5;;FERHAT D?NER
1;2023-02-19T18:24:08.049Z;5;100% Rinder D?ner (T?rkisch yaprak D?ner);
;;;;
1;2023-02-19T16:42:53.433Z;5;Beste D?ner alle Zeiten!;FERHAT D?NER
0;2023-02-19T15:57:32.205Z;3;;FERHAT D?NER
0;2023-02-19T13:19:58.918Z;4;;FERHAT D?NER
2;2023-02-19T10:59:02.088Z;5;I was very surprised by how tasteful the d?ner was. Very fresh ingredients, amazing bread. The line in front of the store speakers for itself, people are willing to wait to get the best food.;FERHAT D?NER
0;2023-02-19T10:29:49.949Z;5;;FERHAT D?NER
0;2023-02-19T09:16:37.074Z;5;;FERHAT D?NER
1;2023-02-18T20:25:49.391Z;5;Beste Kebap!!!;FERHAT D?NER
0;2023-02-18T17:57:04.841Z;5;;FERHAT D?NER
4;2023-02-18T15:31:11.502Z;5;Ganz aus Deutschland sind wir angereist, um diesen gehypten D?ner zu probieren. Jeder Kilometer hat sich gelohnt ?? Tesekk?rler;FERHAT D?NER
0;2023-02-18T14:36:00.713Z;5;;FERHAT D?NER
0;2023-02-18T13:23:13.821Z;5;;FERHAT D?NER
1;2023-02-17T19:33:30.955Z;5;Best beef kebap experience.;FERHAT D?NER
0;2023-02-17T14:54:59.729Z;5;;FERHAT D?NER
2;2023-02-17T09:24:25.324Z;5;Hat seinen Preis ist aber der beste d?ner Wien ohne reden Bruder. Alles frisch und selbst gemacht. Nehmt d?ner ohne so?e vallah;FERHAT D?NER
0;2023-02-17T08:30:23.652Z;4;;FERHAT D?NER
0;2023-02-16T17:24:04.965Z;5;;FERHAT D?NER
0;2023-02-16T14:05:37.597Z;5;;FERHAT D?NER
0;2023-02-16T13:49:15.190Z;5;;FERHAT D?NER
0;2023-02-16T13:26:39.941Z;4;T?rk d?neri ar?yorsan?z tavsiye ederim. Lezzetli ve uygun.;FERHAT D?NER
