isLocalGuide;likesCount;stars;text;title
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;Super;Technische Universität Wien
true;0;3;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;Mache immer gern einen Spaziergang  hier!;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;16;1;"Wer vor hat schneller als die doppelte bis dreifrache ""Mindeststudienzeit"" zu studieren, sollte einen großen Bogen um die TU Wien machen.";
;;;;
false;0;5;Better than NOVA School of Science and Technology;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;5;Stolzer Onkel;
;;;;
;;;;
true;0;4;?;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;2;4;Es gibt hier viele gute Lehrende und interessante Studienfächer. Allerdings sind die Ansprüche über all sehr hoch, man muss mindestens mit 4 bis 5 Semestern länger als die Regelstudienzeit rechnen, zumindest in den Fächern Wirtschaftsingenieurswesen, Maschinenbau und Verfahrenstechnik. Diese Fächer würde ich auch definitiv NICHT an der TU studieren. Die Mechanikprüfungen sind katastrophal, selbst wenn man monatelang lernt, alle alten Tests macht, die man zur Verfügung hat (und das sind viele), fällt man durch, weil die Profs sich immer wieder neue Gemeinheiten ausdenken, auf die weder Übung noch Vorlesung vorbereiten. Praktisches Wissen bekommt man dadurch auch nicht. Und die Jahre (+ Studiengebühren und Nerven), die viele dann  durch Mechanik verlieren, macht auch ein gutes Einstiegsgehalt nicht mehr wett.;Technische Universität Wien
true;0;4;;Technische Universität Wien
true;0;4;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;1;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;1;5;Die beste Uni, weckt schöne Erinnerungen!;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;1;5;Curriculum is fram from optimized but it increases the motivation therefore helpful.;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;4;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;Angenehmer Platz zum Lernen;Technische Universität Wien
false;0;1;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;Beste Arbeitsplatz für Studenten.;Technische Universität Wien
false;0;4;;Technische Universität Wien
false;0;3;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;5;????? ?????? ????? ????? ??? ??????? ?? ??? ?? ??? ?? ????????? ?? ???????? ?? ? ?????;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;21;1;Leider machen die teilweise unmenschlichen Professoren (bestes Beispiel: Alexandra POSEKANY) diesen schönen Ort zunichte. Wie jemand mit solchen charakterlichen Eigenschaften überhaupt Unterrichten darf, ist mir bis heute ein Rätsel.;Technische Universität Wien
false;0;1;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;1;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;1;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;1;2;????????;Technische Universität Wien
true;0;4;;Technische Universität Wien
false;0;4;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;Die Einrichtungen sind gut.;Technische Universität Wien
true;0;5;beautiful;Technische Universität Wien
true;0;5;Super Uni! Modernes Studium, nachher beste Job Chancen.;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;12;1;War gar  nicht dort;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;6;4;Saubere Toiletten, wunderbar ...;
;;;;
;;;;
;;;;
;;;;
;;;;
true;0;2;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;Die Informatik Fachschaft ist die beste Fachschaft! <3;Technische Universität Wien
false;0;1;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;4;;Technische Universität Wien
false;0;1;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;5;Bien;Technische Universität Wien
true;2;5;?????????? ????????? ??? ???? ????? ?????? ???????? ????????????? ?????? ? ?????? ?????????;
;;;;
true;0;1;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;Nagyon szép és impozáns épületegyüttes;Technische Universität Wien
true;0;5;Amazing building. The view from the upper floors is stunning. Great location if you have to work something out.;Technische Universität Wien
false;9;1;Letztens versucht bei der TU anzurufen. War Besetzt. ??;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;1;5;Schön.;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;6;1;Die Website ist eine einzige Katastrophe.;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;4;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;18;1;Ganz ehrlich wie hat eine Technik-Uni so ein schreckliches Onlineportal. Nicht nur die Webseiten für potentielle Studenten, nein sogar die Applikationen mit denen man sich als Student herumschlagen muss sind langsam, unübersichtlich und unverlässlich.;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;4;4;??????????? ??????????? ???? ? ???? ?? ??????????????? ??????????????? ????? ????.;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
false;0;1;;Technische Universität Wien
true;0;5;Very good!;Technische Universität Wien
true;0;3;"Passeggiate italiane Route (b): Neue Ära und Barock: Hotel Sacher, das ""ospedale dei poveri"" vom Kärntnertor und Vivaldi ?il prete rosso?";
;;;;
;;;;
;;;;
;;;;
;;;;
true;0;4;Wonderfull art of work. Beautifull building. Everybody should visit this.;Technische Universität Wien
true;0;5;Vienna technology university in Downtown;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;4;;Technische Universität Wien
false;0;1;;Technische Universität Wien
false;28;1;Die komplette Uni ist eine absolute Frechheit. Studentenfeindlicher geht es kaum. Absoluter Horror bei der Organisation, bei den meisten Lehrveranstaltungen zu wenig Plätze für alle und im TISS innerhalb Millisekunden alles weg. Gewinnt man hier nicht, kann man ein ganzes Jahr warten. Extrem unfreundliche und respektlose Tutoren die einen einfach nur wütend machen, etc, etc. Das sind nur 2 von gefühlt unendlichen Gründen warum man hier auf keinen Fall studieren sollte. Falls Sie es sich überlegen: VERGESSEN SIE ES!!!;Technische Universität Wien
true;0;5;Super;Technische Universität Wien
false;0;3;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;Technische Hochschule;Technische Universität Wien
true;1;5;??????? ?????? ?????? ?? ????????? ????????????? ??????;Technische Universität Wien
true;0;4;????;Technische Universität Wien
true;26;1;Das Studium dauert zu lang und man lernt da nur Theorie. Die Professoren sind mehr da um dir zu zeigen, dass du da nicht erwünscht bist als um dir was beizubringen.;
;;;;
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;1;;Technische Universität Wien
true;0;1;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;2;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;4;4;TU sky is amazing. Beautiful views of the skyline and great location for a function.;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;2;5;It specialises in engineering, technology and applied science;
true;0;5;;Technische Universität Wien
true;0;4;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;1;5;pursuing my phd here;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;22;2;Komplett veraltete Gebäude und der Unterricht ist ebenfalls sehr zurückgeblieben. Wie vor 100 Jahren wird fast alles auf der Tafel gezeichnet und geschrieben, es gibt fast keine Videoaufzeichnungen der Vorlesungen und die Unterstützung durch die Uni ist kaum vorhanden. Man wird hier einfach nur rausgeekelt und merkt, dass man dort nicht erwünscht ist.;Technische Universität Wien
false;3;4;Gute atmosphäre;
;;;;
;;;;
true;0;5;My University;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;4;4;Licht und Schatten liegen hier nahe beisammen. Kommt stark aufs Studium an wah. Die Bibliothek ist allerdings Spitze. Hat auch Sonntags geöffnet. Das führt aber dazu, dass das Angebot auch Studenten anderer Unis genutzt wird. Früh einen Platz sichern empfiehlt sich daher.;Technische Universität Wien
true;0;4;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;4;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
